Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeID,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,JobInvolvement,PerformanceRating,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,CareerScore
29,No,Travel_Frequently,Research & Development,16,4,Medical,1,25,Male,1,Laboratory Technician,Single,65130,1.0,11,8,1,10.0,2,10,0,9,High,Excelent,Medium,Very High,Medium,0.25995918904686677
55,No,Travel_Rarely,Research & Development,1,4,Other,1,26,Female,1,Research Scientist,Married,67990,3.0,11,8,0,12.0,2,10,0,8,High,Excelent,Medium,Very High,High,0.21372432859399684
26,No,Travel_Frequently,Research & Development,9,3,Life Sciences,1,27,Female,1,Manager,Married,162910,1.0,22,8,0,5.0,3,5,3,3,High,Outstanding,Low,Low,High,0.35743483412322274
37,No,Travel_Rarely,Sales,5,1,Marketing,1,28,Male,1,Research Scientist,Single,27050,1.0,11,8,0,17.0,2,17,5,7,High,Excelent,Very High,Very High,High,0.2535775408109532
44,Yes,Travel_Frequently,Research & Development,1,2,Medical,1,29,Male,2,Research Scientist,Divorced,103330,3.0,14,8,1,19.0,2,1,0,0,Medium,Excelent,Very High,High,Low,0.3664988151658768
38,No,Travel_Rarely,Sales,2,3,Marketing,1,30,Female,1,Manager,Divorced,44480,9.0,12,8,0,10.0,3,2,1,2,Medium,Excelent,Very High,Very High,High,0.13277382833070037
26,Yes,Travel_Rarely,Research & Development,4,3,Medical,1,31,Male,3,Research Scientist,Divorced,68540,2.0,11,8,0,5.0,5,3,0,2,Medium,Excelent,Low,Medium,High,0.3165317272248552
28,No,Travel_Rarely,Research & Development,7,3,Other,1,32,Male,1,Human Resources,Single,96370,1.0,13,8,0,5.0,6,5,0,2,Medium,Excelent,Very High,Very High,High,0.2698360979462875
49,No,Travel_Frequently,Research & Development,1,1,Medical,1,33,Female,2,Research Scientist,Single,35910,9.0,13,8,0,22.0,2,3,1,2,High,Excelent,High,Low,High,0.25899157451290156
36,No,Travel_Rarely,Sales,5,3,Technical Degree,1,34,Male,3,Sales Executive,Single,54050,4.0,14,8,0,10.0,2,8,7,7,High,Excelent,High,Medium,High,0.2953725645076356
31,No,Travel_Frequently,Research & Development,9,4,Medical,1,35,Male,1,Sales Executive,Divorced,46840,1.0,16,8,1,2.0,4,2,2,2,High,Excelent,Very High,Medium,Medium,0.18588072669826225
26,Yes,Travel_Rarely,Research & Development,8,3,Medical,1,36,Male,2,Manager,Single,157870,1.0,12,8,2,8.0,5,8,7,4,High,Excelent,Very High,Very High,High,0.4320497630331754
37,No,Travel_Frequently,Sales,9,1,Marketing,1,37,Male,1,Laboratory Technician,Married,15140,1.0,14,8,0,4.0,3,4,1,2,High,Excelent,Medium,Very High,Medium,0.15664823591363874
42,No,Travel_Frequently,Sales,2,2,Marketing,1,38,Male,3,Research Director,Married,29560,5.0,13,8,0,23.0,2,20,4,8,High,Excelent,High,Medium,Very High,0.33604857819905215
18,Yes,Travel_Rarely,Research & Development,1,4,Life Sciences,1,39,Male,1,Sales Executive,Single,23350,1.0,14,8,2,0.0,3,0,0,0,Medium,Excelent,High,High,High,0.1424565560821485
35,No,Travel_Rarely,Sales,20,2,Life Sciences,1,40,Male,1,Laboratory Technician,Married,51540,0.0,19,8,0,12.0,2,11,6,9,Medium,Excelent,High,Medium,Medium,0.37956819378620327
36,No,Travel_Frequently,Research & Development,8,3,Other,1,41,Female,3,Sales Executive,Married,69620,4.0,12,8,2,4.0,2,1,0,0,Medium,Excelent,High,No puntuado,High,0.2783701948393892
51,No,Travel_Rarely,Research & Development,2,3,Life Sciences,1,42,Male,2,Laboratory Technician,Divorced,56750,5.0,13,8,0,13.0,2,4,1,2,Medium,Excelent,Very High,Medium,High,0.2468437335439705
41,No,Travel_Rarely,Research & Development,29,1,Life Sciences,1,43,Male,1,Laboratory Technician,Single,23790,1.0,12,8,0,22.0,6,22,0,4,High,Excelent,Very High,Medium,High,0.28053580832016856
18,No,Travel_Rarely,Sales,7,3,Life Sciences,1,44,Male,1,Research Scientist,Single,38120,1.0,15,8,0,0.0,3,0,0,0,High,Excelent,Very High,High,High,0.16190100052659295
28,No,Travel_Rarely,Research & Development,9,3,Medical,1,45,Male,1,Sales Representative,Single,46480,0.0,23,8,2,9.0,2,8,0,7,Medium,Outstanding,Medium,Low,High,0.3541567930489732
31,No,Travel_Rarely,Research & Development,8,1,Technical Degree,1,46,Male,1,Manufacturing Director,Married,29360,4.0,12,8,1,10.0,2,8,7,7,High,Excelent,Medium,Very High,Medium,0.1378686150605582
39,No,Travel_Rarely,Sales,5,4,Marketing,1,47,Female,2,Human Resources,Divorced,21050,0.0,20,8,0,19.0,3,18,3,7,High,Outstanding,High,Very High,Medium,0.4456786466561348
36,No,Non-Travel,Research & Development,5,4,Life Sciences,1,48,Male,1,Sales Executive,Married,85780,7.0,21,8,0,11.0,4,9,0,8,High,Outstanding,Medium,Medium,High,0.19964454976303317
32,No,Travel_Rarely,Sales,2,3,Marketing,1,49,Male,2,Laboratory Technician,Married,27060,1.0,21,8,1,13.0,4,13,4,8,High,Outstanding,Very High,High,Medium,0.2910907056345445
38,No,Travel_Rarely,Research & Development,5,2,Life Sciences,1,50,Female,3,Research Scientist,Married,63840,3.0,19,8,2,19.0,4,10,0,1,Medium,Excelent,Low,Medium,High,0.37701092680358084
58,No,Non-Travel,Research & Development,2,3,Life Sciences,1,51,Male,2,Manufacturing Director,Divorced,39680,2.0,13,8,2,12.0,3,5,1,2,Medium,Excelent,Very High,High,High,0.25978804634017905
31,No,Travel_Rarely,Research & Development,20,1,Technical Degree,1,52,Female,3,Research Scientist,Married,99070,0.0,13,8,1,6.0,3,5,0,3,Medium,Excelent,High,Very High,High,0.5296406003159557
31,No,Travel_Rarely,Sales,7,4,Marketing,1,53,Male,2,Sales Executive,Married,132250,3.0,21,8,1,9.0,2,2,1,0,High,Outstanding,Low,Low,High,0.34207148499210116
45,No,Travel_Frequently,Research & Development,3,1,Medical,1,54,Female,1,Sales Executive,Divorced,35400,1.0,13,8,0,24.0,6,24,9,11,High,Excelent,Low,Low,High,0.308320168509742
31,No,Travel_Rarely,Sales,16,4,Marketing,1,55,Female,2,Research Scientist,Divorced,28040,0.0,19,8,2,3.0,0,2,2,2,High,Excelent,High,Very High,Low,0.35488085834649813
33,No,Travel_Frequently,Research & Development,9,3,Life Sciences,1,56,Male,4,Research Director,Married,193920,6.0,12,8,1,12.0,3,10,8,8,High,Excelent,Very High,Medium,High,0.5402232377943279
39,No,Travel_Rarely,Sales,1,4,Life Sciences,1,57,Male,1,Sales Executive,Married,196650,1.0,22,8,1,21.0,6,21,11,10,High,Outstanding,High,Low,High,0.5018529489204845
43,No,Travel_Frequently,Research & Development,7,4,Medical,1,58,Male,4,Research Scientist,Single,24390,0.0,15,8,0,9.0,2,8,1,7,High,Excelent,High,Very High,High,0.5125756977356504
49,No,Travel_Rarely,Research & Development,1,3,Life Sciences,1,59,Male,3,Manufacturing Director,Single,73140,7.0,22,8,0,25.0,2,7,0,7,High,Outstanding,High,High,High,0.39550421274354924
52,Yes,Travel_Rarely,Research & Development,7,1,Life Sciences,1,60,Female,2,Research Scientist,Married,47740,2.0,18,8,1,11.0,2,8,7,7,High,Excelent,High,Medium,Medium,0.26414889415481835
27,No,Travel_Rarely,Research & Development,15,4,Medical,1,61,Male,3,Research Scientist,Single,39020,1.0,22,8,0,4.0,2,4,1,2,High,Outstanding,High,Medium,Medium,0.3130858346498157
32,No,Travel_Rarely,Research & Development,1,3,Life Sciences,1,62,Male,3,Research Scientist,Married,26620,1.0,11,8,1,13.0,6,13,11,9,Very High,Excelent,High,Medium,High,0.35301145339652445
27,No,Travel_Rarely,Research & Development,13,2,Medical,1,63,Female,4,Research Director,Single,28560,1.0,12,8,2,5.0,5,5,0,4,Very High,Excelent,Very High,High,High,0.3680654291732491
31,No,Travel_Rarely,Sales,24,3,Life Sciences,1,64,Male,2,Healthcare Representative,Divorced,10810,4.0,11,8,3,13.0,4,7,1,7,Very High,Excelent,Very High,Very High,High,0.1946978672985782
32,No,Travel_Rarely,Research & Development,7,3,Technical Degree,1,65,Male,2,Healthcare Representative,Single,24720,7.0,13,8,0,10.0,2,7,0,7,High,Excelent,Low,Very High,Medium,0.17551013691416534
28,Yes,Travel_Rarely,Research & Development,9,4,Medical,1,66,Male,1,Sales Executive,Married,56730,5.0,14,8,1,5.0,4,3,2,2,Medium,Excelent,Low,Very High,Medium,0.13431740389678778
30,No,Travel_Rarely,Research & Development,13,3,Life Sciences,1,67,Female,4,Research Director,Married,41970,1.0,13,8,0,11.0,3,10,1,9,High,Excelent,Very High,Very High,High,0.42321945760926805
31,No,Travel_Frequently,Research & Development,2,1,Life Sciences,1,68,Female,1,Manager,Married,97130,1.0,17,8,0,10.0,5,10,8,9,Medium,Excelent,High,High,High,0.3020866245392312
39,No,Travel_Frequently,Research & Development,19,4,Medical,1,69,Female,1,Research Scientist,Married,20620,1.0,13,8,0,21.0,4,21,13,3,High,Excelent,High,Very High,High,0.2701125592417062
39,Yes,Travel_Rarely,Research & Development,1,1,Medical,1,70,Female,1,Laboratory Technician,Married,42840,4.0,17,8,1,12.0,0,1,0,0,High,Excelent,Very High,High,Medium,0.16811479726171671
33,No,Travel_Frequently,Sales,4,2,Life Sciences,1,71,Male,4,Research Scientist,Single,47880,3.0,11,8,1,9.0,0,7,0,1,High,Excelent,Medium,Very High,Medium,0.3559998683517641
47,No,Travel_Rarely,Research & Development,4,3,Life Sciences,1,72,Female,2,Healthcare Representative,Married,59060,4.0,23,8,0,21.0,4,3,1,1,Very High,Outstanding,Very High,High,High,0.30821814112690893
43,No,Travel_Frequently,Research & Development,14,3,Medical,1,73,Female,5,Research Director,Divorced,38860,1.0,17,8,2,9.0,2,9,0,0,High,Excelent,High,High,Very High,0.46912519747235387
27,No,Non-Travel,Research & Development,2,3,Life Sciences,1,74,Male,1,Research Director,Married,168230,0.0,17,8,0,6.0,3,5,1,4,High,Excelent,High,Medium,High,0.49568852027382837
54,No,Travel_Frequently,Research & Development,1,4,Life Sciences,1,75,Male,2,Research Scientist,Single,29330,3.0,12,8,2,20.0,2,4,0,3,High,Excelent,Very High,High,Medium,0.2753291205897841
43,No,Travel_Rarely,Research & Development,7,2,Life Sciences,1,76,Female,2,Manager,Married,65000,8.0,23,8,0,10.0,3,1,0,0,High,Outstanding,High,Low,Medium,0.22506582411795684
45,No,Travel_Rarely,Sales,3,1,Marketing,1,77,Female,1,Sales Executive,Married,171740,9.0,14,8,1,12.0,6,10,9,8,High,Excelent,Very High,Very High,High,0.31280937335439707
40,No,Travel_Rarely,Research & Development,2,4,Other,1,78,Male,4,Research Scientist,Married,50330,2.0,14,8,2,6.0,6,4,0,2,High,Excelent,Medium,Very High,Medium,0.3613085834649816
29,Yes,Travel_Rarely,Research & Development,29,3,Medical,1,79,Female,1,Research Scientist,Married,23070,1.0,13,8,1,7.0,0,7,0,7,High,Excelent,Medium,Low,Medium,0.18583794102159032
29,No,Travel_Rarely,Human Resources,8,3,Medical,1,80,Male,3,Sales Representative,Single,25870,0.0,22,8,2,4.0,3,3,2,2,High,Outstanding,Medium,Very High,High,0.4207740916271722
30,No,Travel_Rarely,Research & Development,10,3,Life Sciences,1,81,Male,2,Research Scientist,Divorced,55070,1.0,12,8,2,10.0,2,10,1,2,Medium,Excelent,Very High,High,High,0.3092153765139547
27,No,Travel_Rarely,Research & Development,11,2,Medical,1,82,Male,1,Manager,Married,43930,1.0,18,8,1,8.0,2,8,0,7,Medium,Excelent,Medium,Medium,High,0.21954976303317536
37,No,Travel_Rarely,Sales,1,4,Life Sciences,1,83,Male,2,Healthcare Representative,Divorced,133480,7.0,14,8,0,8.0,4,6,0,4,High,Excelent,Very High,Very High,Medium,0.30619075829383885
38,No,Travel_Rarely,Research & Development,28,4,Medical,1,84,Male,1,Laboratory Technician,Divorced,65830,0.0,12,8,0,12.0,1,11,2,9,High,Excelent,High,Very High,High,0.39838072669826224
31,No,Travel_Rarely,Research & Development,6,3,Medical,1,85,Female,3,Manager,Single,81030,1.0,15,8,1,11.0,5,11,4,10,High,Excelent,High,Very High,No puntuado,0.41214125855713535
29,No,Travel_Rarely,Research & Development,3,4,Life Sciences,1,86,Male,3,Sales Executive,Divorced,39780,1.0,11,8,0,7.0,0,7,1,7,High,Excelent,Very High,Medium,High,0.33283636124275934
35,No,Travel_Rarely,Sales,16,2,Technical Degree,1,87,Male,3,Manager,Single,25440,0.0,13,8,1,17.0,3,16,0,13,Very High,Excelent,High,Medium,High,0.5014580042127436
23,No,Travel_Rarely,Research & Development,20,4,Life Sciences,1,88,Male,1,Manufacturing Director,Divorced,53990,1.0,23,8,0,4.0,2,4,0,2,Medium,Outstanding,High,Very High,Medium,0.2077935755660874
41,No,Travel_Rarely,Research & Development,9,2,Life Sciences,1,89,Female,1,Laboratory Technician,Single,54870,6.0,19,8,2,8.0,0,5,1,2,High,Excelent,Very High,Medium,High,0.14466636575641317
47,No,Travel_Frequently,Sales,1,3,Medical,1,90,Female,2,Laboratory Technician,Single,68340,3.0,16,8,1,5.0,2,0,0,0,Very High,Excelent,Medium,High,High,0.2329350974196946
42,No,Travel_Rarely,Research & Development,3,4,Life Sciences,1,91,Male,1,Manager,Single,10910,2.0,22,8,0,16.0,0,1,0,0,Low,Outstanding,Low,Very High,High,0.18441284886782516
29,No,Non-Travel,Sales,22,4,Marketing,1,92,Male,2,Human Resources,Married,57360,1.0,22,8,0,4.0,1,4,0,2,Medium,Outstanding,Very High,High,Medium,0.27473012111637707
42,No,Travel_Rarely,Sales,7,4,Medical,1,93,Male,3,Research Scientist,Divorced,22260,0.0,12,8,1,4.0,3,3,1,0,Medium,Excelent,High,High,High,0.41602159031068986
32,No,Travel_Rarely,Research & Development,2,3,Medical,1,94,Male,2,Research Scientist,Married,57470,1.0,13,8,0,8.0,0,8,0,7,High,Excelent,High,Medium,High,0.29987493417588207
48,No,Travel_Rarely,Sales,13,4,Medical,1,95,Male,4,Sales Executive,Married,98540,3.0,16,8,1,15.0,2,0,0,0,Medium,Excelent,Low,High,Low,0.4601928646656135
37,No,Travel_Rarely,Research & Development,8,5,Technical Degree,1,96,Male,2,Manufacturing Director,Divorced,54670,4.0,12,8,0,13.0,2,7,6,7,High,Excelent,High,Low,High,0.25243878357030014
30,No,Non-Travel,Sales,25,4,Other,1,97,Male,1,Healthcare Representative,Married,53800,7.0,21,8,1,4.0,0,2,2,2,High,Outstanding,Very High,High,Very High,0.11379344391785151
26,No,Travel_Rarely,Sales,28,3,Medical,1,98,Female,5,Laboratory Technician,Married,51510,1.0,15,8,3,8.0,3,8,7,7,High,Excelent,High,High,High,0.4795286993154292
42,No,Travel_Rarely,Sales,2,2,Medical,1,99,Female,1,Laboratory Technician,Single,21330,3.0,13,8,2,14.0,2,1,0,0,High,Excelent,Low,Very High,High,0.164797261716693
21,Yes,Travel_Frequently,Research & Development,9,3,Medical,1,100,Female,4,Manufacturing Director,Single,178750,1.0,12,8,0,3.0,5,3,1,2,Medium,Excelent,Low,Medium,High,0.5532879146919432
36,No,Non-Travel,Human Resources,28,3,Human Resources,1,101,Male,2,Laboratory Technician,Single,24320,4.0,22,8,0,7.0,4,1,0,0,Low,Outstanding,Very High,Very High,High,0.1749835439705108
36,No,Travel_Frequently,Research & Development,6,3,Life Sciences,1,102,Female,2,Research Scientist,Married,47710,4.0,13,8,1,16.0,2,13,1,12,High,Excelent,Low,Very High,High,0.2620260663507109
57,No,Travel_Rarely,Research & Development,21,4,Life Sciences,1,103,Male,5,Research Scientist,Married,191610,2.0,18,8,0,15.0,2,3,1,2,Low,Excelent,Very High,High,High,0.6660512111637704
40,No,Travel_Rarely,Research & Development,8,3,Other,1,104,Male,2,Sales Executive,Married,50870,3.0,14,8,1,10.0,3,7,1,7,High,Excelent,Very High,High,High,0.24118615060558188
21,No,Non-Travel,Research & Development,1,5,Life Sciences,1,105,Female,2,Manager,Single,28630,1.0,14,8,0,3.0,2,3,2,2,Low,Excelent,Low,Very High,Medium,0.23065758293838862
33,Yes,Travel_Rarely,Human Resources,28,2,Human Resources,1,106,Female,5,Manager,Single,55610,1.0,21,8,1,1.0,3,1,0,0,Low,Outstanding,Very High,High,High,0.44117627698788836
37,No,Travel_Rarely,Research & Development,5,3,Life Sciences,1,107,Male,4,Research Scientist,Married,21440,6.0,19,8,0,17.0,3,5,0,3,Very High,Excelent,High,Low,High,0.34440636049048373
46,No,Non-Travel,Sales,2,4,Marketing,1,108,Female,2,Laboratory Technician,Married,30650,2.0,11,8,0,7.0,3,1,0,0,High,Excelent,High,High,Very High,0.2166502106371775
41,Yes,Travel_Frequently,Research & Development,16,1,Medical,1,109,Female,1,Research Scientist,Single,28100,1.0,11,8,0,8.0,3,8,7,7,Very High,Excelent,Low,Medium,High,0.19870984728804636
50,No,Travel_Rarely,Research & Development,9,3,Medical,1,110,Female,3,Laboratory Technician,Single,98880,6.0,15,8,0,20.0,2,4,1,3,High,Excelent,Very High,Very High,High,0.40260475438200555
40,Yes,Travel_Rarely,Research & Development,8,3,Medical,1,111,Female,1,Healthcare Representative,Married,86280,2.0,20,8,0,8.0,2,6,1,0,Medium,Outstanding,High,High,High,0.23363612427593472
31,No,Travel_Rarely,Research & Development,1,3,Life Sciences,1,112,Male,4,Human Resources,Single,28670,0.0,24,8,0,3.0,5,2,2,2,High,Outstanding,no puntuado,Medium,High,0.4807102422327541
21,Yes,Travel_Rarely,Human Resources,10,2,Human Resources,1,113,Male,1,Laboratory Technician,Single,53730,1.0,12,8,1,1.0,2,1,0,0,High,Excelent,High,Medium,High,0.18870129015271198
29,No,Travel_Rarely,Research & Development,1,3,Life Sciences,1,114,Female,2,Research Director,Single,66670,9.0,12,8,1,6.0,6,3,1,2,Very High,Excelent,Very High,Very High,High,0.1994865718799368
35,No,Travel_Rarely,Research & Development,29,3,Life Sciences,1,115,Female,3,Sales Executive,Single,50030,9.0,15,8,0,10.0,2,1,0,0,High,Excelent,High,Medium,High,0.2650803054239073
27,No,Travel_Rarely,Sales,2,3,Life Sciences,1,116,Male,1,Sales Executive,Divorced,23670,,12,8,1,5.0,2,5,0,4,High,Excelent,Very High,Medium,High,0.29912783043707214
28,No,Travel_Rarely,Research & Development,2,2,Medical,1,117,Male,3,Manager,Single,28580,1.0,12,8,0,7.0,2,7,0,7,Medium,Excelent,Medium,Very High,High,0.31809175882043184
49,No,Travel_Rarely,Sales,2,3,Technical Degree,1,118,Male,2,Manufacturing Director,Single,52040,8.0,14,8,1,26.0,3,5,0,0,High,Excelent,Medium,High,High,0.3080042127435493
51,No,Travel_Rarely,Research & Development,1,2,Life Sciences,1,119,Male,1,Sales Executive,Married,41050,4.0,22,8,1,18.0,2,7,0,7,High,Outstanding,High,Very High,Medium,0.20325829383886257
36,No,Travel_Rarely,Sales,15,2,Life Sciences,1,120,Male,1,Sales Executive,Married,96790,4.0,12,8,0,6.0,1,2,2,2,High,Excelent,Very High,High,High,0.20163902053712482
34,Yes,Non-Travel,Research & Development,7,3,Life Sciences,1,121,Male,1,Sales Representative,Single,56170,8.0,25,8,1,9.0,3,5,0,4,High,Outstanding,Low,Very High,Medium,0.1446912848867825
55,No,Travel_Rarely,Sales,26,3,Marketing,1,122,Male,1,Laboratory Technician,Single,104480,2.0,13,8,0,30.0,3,5,1,2,High,Excelent,High,Very High,High,0.39509610321221694
24,No,Travel_Rarely,Research & Development,1,3,Life Sciences,1,123,Female,5,Manager,Divorced,28970,1.0,18,8,3,5.0,4,5,0,3,High,Excelent,Very High,High,Very High,0.431105186940495
30,No,Travel_Rarely,Research & Development,3,3,Life Sciences,1,124,Female,2,Manager,Married,59680,1.0,13,8,0,1.0,3,1,0,0,High,Excelent,High,Medium,High,0.25903436018957343
26,Yes,Travel_Frequently,Sales,14,3,Life Sciences,1,125,Male,2,Manager,Single,75100,0.0,18,8,3,7.0,3,6,0,4,High,Excelent,High,No puntuado,High,0.44183451816745656
22,No,Travel_Rarely,Research & Development,16,5,Other,1,126,Male,1,Research Scientist,Married,29910,1.0,19,8,2,2.0,3,2,1,2,Medium,Excelent,Low,Medium,High,0.16359268035808322
36,No,Travel_Rarely,Research & Development,1,3,Medical,1,127,Female,5,Healthcare Representative,Married,196360,1.0,12,8,1,10.0,3,10,9,0,High,Excelent,Medium,High,High,0.682721169036335
30,Yes,Travel_Frequently,Sales,3,2,Marketing,1,128,Male,3,Research Scientist,Single,11290,9.0,19,8,0,3.0,2,1,0,0,Medium,Excelent,High,Very High,High,0.17032977883096367
37,No,Travel_Rarely,Research & Development,10,1,Technical Degree,1,129,Male,1,Sales Executive,Divorced,133410,1.0,14,8,1,18.0,3,18,12,17,High,Excelent,Very High,Low,Medium,0.3998486045286993
40,No,Travel_Rarely,Research & Development,6,2,Medical,1,130,Male,3,Research Scientist,Divorced,43320,7.0,14,8,2,8.0,3,5,1,3,Medium,Excelent,Very High,Medium,High,0.24999670879410218
42,No,Travel_Rarely,Research & Development,2,3,Medical,1,131,Female,4,Manager,Divorced,110310,3.0,12,8,1,8.0,2,5,1,2,Medium,Excelent,Medium,Low,High,0.4319378620326488
37,No,Travel_Rarely,Sales,9,1,Marketing,1,132,Male,3,Sales Executive,Single,44400,2.0,11,8,1,18.0,3,1,0,1,Medium,Excelent,High,Medium,Medium,0.36600184307530276
43,No,Travel_Rarely,Sales,10,2,Life Sciences,1,133,Female,1,Sales Executive,Divorced,46170,1.0,11,8,0,25.0,2,25,3,9,High,Excelent,Low,Medium,High,0.32874868351764086
40,No,Travel_Rarely,Sales,6,2,Life Sciences,1,134,Female,1,Laboratory Technician,Married,26470,6.0,13,8,0,20.0,2,1,0,0,Medium,Excelent,Medium,High,High,0.18227826675693976
54,No,Travel_Rarely,Human Resources,9,3,Life Sciences,1,135,Female,2,Manufacturing Director,Married,63230,4.0,23,8,1,24.0,2,4,1,2,Medium,Outstanding,Low,Low,Medium,0.33245787256450765
34,No,Non-Travel,Research & Development,28,3,Medical,1,136,Male,1,Laboratory Technician,Married,56770,9.0,20,8,1,6.0,3,3,1,2,High,Outstanding,High,High,High,0.12395339652448659
31,No,Travel_Rarely,Research & Development,10,4,Life Sciences,1,137,Male,3,Sales Executive,Married,21870,1.0,15,8,1,13.0,2,13,3,12,Medium,Excelent,Medium,Low,Low,0.34675816219062666
